NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPRMB2B6.875%B170626                                HK0000204716        11MB      21Vianet6.875%b170626S
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
3CNERGY LIMITED W200528                                     SG5EE3000008        1E0W      3Cnergy W200528
3IINFOTECH US$2.435MCB170726                                XS0308551166        3JDB      3iInfotech cb170726S
3IINFOTECUS$125.356M5%CB170426                              XS0769181982        2CCB      3iInfoteccb5%170426S
3IINFOTEUSD16.323M2.5%CB250331                              XS1423751418        66DB      3iInfotec cb2.5%250331S
800 SUPER HOLDINGS LIMITED                                  SG2D42972083        5TG       800 Super
8TELECOM INTL HOLDINGS CO LTD                               BMG3087Y2074        AZG       8Telecom^
AA GROUP HOLDINGS LTD.                                      SG1S12926576        5GZ       AA
AANJANEYA US$40M5.44%CB180322                               XS0907573850        2RUB      Aanjaneya cb180322S
ABF SPORE BOND INDEX FUND ETF                               SG1S08926457        A35       ABF SG BOND ETF
ABJA INV S$300M 4.95%N230503                                SG55G7992081        2UDB      ABJA n4.95%230503 S
ABJA INV US$1B5.45%N280124                                  XS1753595328        8GCB      ABJA n5.45%280124S
ABJA INV US$300M4.45%N230124                                XS1753594198        8GBB      ABJA n4.45%230124S
ABR HOLDINGS LIMITED                                        SG0533000253        533       ABR
ABTERRA LTD                                                 SG2C12961455        L5I       Abterra^
ABUNDANCE INTERNATIONAL LTD                                 SG1I02877971        541       Abundance Intl
ABUNDANCE INTERNATIONALW210130                              SG5DQ0000007        1C4W      AbundanceIn eW210130
AC ENER FINUS$110M5.25%N290212                              XS1946107007        IDTB      AC Ener n5.25%290212S
AC ENER FINUS$225M4.75%N240129                              XS1940840132        OEHB      AC Ener n4.75%240129S
ACCORDIA GOLF TRUST                                         SG1AB5000009        ADQU      Accordia Golf Tr
ACCRELIST LTD.                                              SG2C00960329        5RJ       Accrelist
ACE ACHIEVE INFOCOM LIMITED                                 BMG007FR1026        A75       Ace Achieve Info^
ACESIAN PARTNERS LIMITED                                    SG1Q66923448        5FW       Acesian Partners
ACMA LTD.                                                   SG1BB6000006        AYV       Acma
ACROMEC LIMITED                                             SG1CH1000006        43F       Acromec
ADANIPORTS US$500M4%N270730A                                US00652MAD48        76EB      AdaniPorts n4%270730A
ADANIPORTS US$500M4%N270730R                                XS1636266832        76FB      AdaniPorts n4%270730R
ADANIPORTSUS$500M3.95%N220119A                              US00652MAC64        67IB      AdaniPortsn3.95%220119A
ADANIPORTSUS$500M3.95%N220119R                              USY00130HS90        67JB      AdaniPortsn3.95%220119R
ADANIPORTSUS$650M3.5%N200729A                               US00652MAB81        33RB      AdaniPorts n3.5%200729A
ADANIPORTSUS$650M3.5%N200729R                               USY00130CZ88        33QB      AdaniPorts n3.5%200729R
ADANITRANS INR5B9.1%N210729                                 XS1449705869        4N5B      AdaniTran n9.1%210729S
ADANITRANS US$500M4%N260803A                                US00652XAA63        4O3B      AdaniTran n4%260803A
